Order ID,Order Date,Ship Date,Segment,Country,City,Category,Sub-Category,Sales,Quantity,Discount,Profit
IN-2023-1055,2023-10-08,2023-10-18,Corporate,India,Pune,Technology,Copiers,938.53,5,0.05,-140.31
IN-2023-1056,2023-12-16,2023-03-06,Home Office,India,Pune,Furniture,Chairs,113.02,9,0.0,3.27
IN-2023-1057,2023-05-23,2023-08-01,Consumer,India,Kolkata,Office Supplies,Pens,1842.39,8,0.05,260.27
IN-2023-1058,2023-06-27,2023-11-17,Corporate,India,Kolkata,Office Supplies,Binders,343.31,5,0.05,1.62
IN-2023-1059,2023-06-17,2023-05-05,Corporate,India,Hyderabad,Furniture,Chairs,858.9,1,0.3,-218.93
IN-2023-1060,2023-01-21,2023-09-14,Consumer,India,Kolkata,Office Supplies,Pens,1549.53,5,0.05,588.38
IN-2023-1061,2023-02-08,2023-07-26,Consumer,India,Chennai,Furniture,Bookcases,454.09,1,0.0,138.77
IN-2023-1062,2023-12-05,2023-11-25,Corporate,India,Pune,Office Supplies,Paper,1671.17,2,0.2,590.1
IN-2023-1063,2023-11-19,2023-07-06,Home Office,India,Kolkata,Furniture,Furnishings,870.04,5,0.3,184.0
IN-2023-1064,2023-06-01,2023-08-15,Corporate,India,Bengaluru,Office Supplies,Paper,1291.46,3,0.05,-27.63
IN-2023-1065,2023-10-17,2023-12-20,Corporate,India,Mumbai,Office Supplies,Pens,1410.4,4,0.05,622.37
IN-2023-1066,2023-11-22,2023-08-04,Corporate,India,Chennai,Furniture,Tables,727.46,3,0.0,49.54
IN-2023-1067,2023-03-21,2023-05-18,Home Office,India,Mumbai,Furniture,Bookcases,1351.74,2,0.3,-197.58
IN-2023-1068,2023-02-17,2023-10-13,Corporate,India,Chennai,Office Supplies,Binders,1119.99,5,0.0,-17.03
IN-2023-1069,2023-01-26,2023-04-01,Corporate,India,Hyderabad,Technology,Phones,988.23,6,0.1,431.56
IN-2023-1070,2023-08-02,2023-10-14,Consumer,India,Delhi,Furniture,Bookcases,458.23,8,0.05,141.12
IN-2023-1071,2023-02-26,2023-06-03,Home Office,India,Kolkata,Technology,Copiers,1389.97,7,0.1,174.71
IN-2023-1072,2023-06-26,2023-12-25,Consumer,India,Kolkata,Technology,Machines,785.7,7,0.0,292.73
IN-2023-1073,2023-04-15,2023-06-02,Consumer,India,Delhi,Furniture,Chairs,742.45,9,0.3,62.12
IN-2023-1074,2023-10-02,2023-11-24,Consumer,India,Delhi,Technology,Copiers,298.78,9,0.3,-2.85
IN-2023-1075,2023-07-16,2023-04-11,Corporate,India,Chennai,Technology,Phones,1870.7,5,0.3,-332.45
IN-2023-1076,2023-08-05,2023-04-24,Corporate,India,Kolkata,Office Supplies,Paper,158.52,9,0.1,18.96
IN-2023-1077,2023-06-19,2023-09-02,Corporate,India,Delhi,Technology,Accessories,1940.47,4,0.0,179.69
IN-2023-1078,2023-03-20,2023-01-20,Corporate,India,Mumbai,Technology,Machines,1685.24,5,0.05,-69.19
IN-2023-1079,2023-04-13,2023-11-03,Home Office,India,Hyderabad,Furniture,Furnishings,1240.71,6,0.3,130.13
IN-2023-1080,2023-04-01,2023-05-09,Corporate,India,Bengaluru,Furniture,Tables,1119.78,2,0.3,277.32
IN-2023-1081,2023-01-05,2023-12-12,Home Office,India,Kolkata,Furniture,Chairs,969.57,7,0.1,-20.27
IN-2023-1082,2023-06-08,2023-11-09,Consumer,India,Mumbai,Office Supplies,Paper,1879.76,3,0.1,829.27
IN-2023-1083,2023-10-04,2023-09-13,Corporate,India,Mumbai,Furniture,Tables,370.32,5,0.1,85.97
IN-2023-1084,2023-07-15,2023-01-25,Corporate,India,Kolkata,Office Supplies,Binders,1441.88,3,0.3,-84.92
IN-2023-1085,2023-06-06,2023-03-07,Home Office,India,Kolkata,Furniture,Chairs,1087.12,5,0.1,145.98
IN-2023-1086,2023-11-04,2023-06-25,Corporate,India,Delhi,Technology,Copiers,1598.35,1,0.2,468.59
IN-2023-1087,2023-11-10,2023-01-22,Consumer,India,Mumbai,Furniture,Chairs,1500.7,4,0.05,465.17
IN-2023-1088,2023-08-05,2023-04-12,Home Office,India,Kolkata,Office Supplies,Binders,1700.58,8,0.2,30.32
IN-2023-1089,2023-11-05,2023-04-11,Home Office,India,Kolkata,Furniture,Tables,1216.96,4,0.2,332.16
IN-2023-1090,2023-08-11,2023-12-12,Corporate,India,Pune,Office Supplies,Paper,831.66,8,0.05,157.32
IN-2023-1091,2023-08-09,2023-06-11,Consumer,India,Kolkata,Furniture,Furnishings,347.45,9,0.1,100.47
IN-2023-1092,2023-06-23,2023-03-08,Corporate,India,Chennai,Technology,Phones,1970.44,4,0.0,-67.55
IN-2023-1093,2023-09-03,2023-04-25,Home Office,India,Hyderabad,Technology,Phones,1501.29,4,0.0,-444.82
IN-2023-1094,2023-11-27,2023-12-27,Corporate,India,Bengaluru,Office Supplies,Pens,958.12,2,0.1,59.19
IN-2023-1095,2023-11-22,2023-10-18,Consumer,India,Kolkata,Technology,Accessories,372.75,5,0.0,-3.76
IN-2023-1096,2023-12-08,2023-01-07,Home Office,India,Hyderabad,Furniture,Chairs,1924.09,1,0.2,60.99
IN-2023-1097,2023-01-13,2023-08-19,Consumer,India,Pune,Furniture,Furnishings,1512.42,8,0.1,-30.99
IN-2023-1098,2023-06-19,2023-04-01,Corporate,India,Mumbai,Office Supplies,Binders,933.91,2,0.2,79.26
IN-2023-1099,2023-07-23,2023-12-18,Home Office,India,Mumbai,Furniture,Bookcases,777.95,3,0.05,20.99
IN-2023-1100,2023-08-22,2023-09-15,Consumer,India,Hyderabad,Technology,Phones,482.85,8,0.1,50.41
IN-2023-1101,2023-08-14,2023-08-14,Home Office,India,Hyderabad,Furniture,Bookcases,1135.61,8,0.05,390.94
IN-2023-1102,2023-07-01,2023-07-21,Consumer,India,Pune,Technology,Copiers,449.72,7,0.05,-130.24
IN-2023-1103,2023-05-20,2023-11-10,Consumer,India,Mumbai,Technology,Copiers,1186.93,2,0.05,508.6
IN-2023-1104,2023-09-02,2023-05-12,Home Office,India,Kolkata,Technology,Accessories,116.74,4,0.3,-2.78
IN-2023-1105,2023-11-14,2023-07-17,Corporate,India,Pune,Technology,Copiers,1570.53,1,0.05,239.7
IN-2023-1106,2023-09-22,2023-06-11,Consumer,India,Pune,Office Supplies,Pens,1496.29,2,0.3,32.98
IN-2023-1107,2023-02-21,2023-10-04,Corporate,India,Bengaluru,Office Supplies,Storage,1806.12,2,0.3,-515.26
IN-2023-1108,2023-05-10,2023-06-21,Corporate,India,Hyderabad,Furniture,Tables,840.23,6,0.05,232.04
IN-2023-1109,2023-05-07,2023-10-13,Home Office,India,Pune,Technology,Phones,1477.76,2,0.2,305.13
IN-2023-1110,2023-01-19,2023-05-04,Consumer,India,Delhi,Furniture,Tables,1553.28,2,0.2,725.23
IN-2023-1111,2023-08-03,2023-06-02,Consumer,India,Chennai,Technology,Accessories,1682.3,4,0.0,466.38
IN-2023-1112,2023-04-19,2023-03-20,Corporate,India,Pune,Technology,Machines,1478.52,1,0.05,-406.67
IN-2023-1113,2023-05-09,2023-09-08,Corporate,India,Mumbai,Technology,Phones,1213.84,2,0.0,384.46
IN-2023-1114,2023-05-12,2023-12-19,Consumer,India,Chennai,Furniture,Chairs,1392.38,9,0.1,494.69
IN-2023-1115,2023-09-23,2023-01-15,Corporate,India,Delhi,Office Supplies,Paper,753.9,1,0.3,250.3
IN-2023-1116,2023-06-08,2023-09-18,Home Office,India,Kolkata,Office Supplies,Storage,1622.79,7,0.3,411.9
IN-2023-1117,2023-05-22,2023-10-07,Home Office,India,Mumbai,Furniture,Furnishings,1975.95,7,0.0,-307.34
IN-2023-1118,2023-02-20,2023-07-03,Consumer,India,Kolkata,Office Supplies,Pens,629.83,8,0.05,23.56
IN-2023-1119,2023-02-03,2023-05-11,Corporate,India,Kolkata,Office Supplies,Pens,122.16,8,0.1,18.15
IN-2023-1120,2023-06-25,2023-02-01,Home Office,India,Delhi,Office Supplies,Pens,1166.23,8,0.0,152.45
IN-2023-1121,2023-02-03,2023-11-07,Corporate,India,Bengaluru,Furniture,Tables,97.58,2,0.1,39.01
IN-2023-1122,2023-08-12,2023-09-10,Consumer,India,Pune,Office Supplies,Storage,222.66,5,0.2,44.98
IN-2023-1123,2023-08-18,2023-04-18,Home Office,India,Kolkata,Office Supplies,Binders,1068.91,1,0.0,-226.2
IN-2023-1124,2023-04-12,2023-11-26,Consumer,India,Hyderabad,Office Supplies,Binders,1825.16,9,0.0,24.28
IN-2023-1125,2023-02-25,2023-07-20,Consumer,India,Mumbai,Furniture,Chairs,1197.68,7,0.1,506.59
IN-2023-1126,2023-11-02,2023-09-26,Consumer,India,Kolkata,Technology,Copiers,499.61,3,0.3,-101.79
IN-2023-1127,2023-07-17,2023-09-03,Corporate,India,Mumbai,Furniture,Chairs,1661.1,5,0.3,338.57
IN-2023-1128,2023-08-03,2023-03-06,Consumer,India,Mumbai,Office Supplies,Binders,822.67,2,0.05,211.28
IN-2023-1129,2023-09-24,2023-03-27,Consumer,India,Kolkata,Furniture,Furnishings,117.99,4,0.3,-26.76
IN-2023-1130,2023-11-02,2023-08-15,Home Office,India,Hyderabad,Furniture,Chairs,1711.78,9,0.0,240.82
IN-2023-1131,2023-12-05,2023-01-18,Home Office,India,Chennai,Office Supplies,Storage,145.13,2,0.3,-17.97
IN-2023-1132,2023-01-06,2023-08-19,Corporate,India,Chennai,Furniture,Furnishings,1817.7,3,0.05,245.43
IN-2023-1133,2023-11-06,2023-12-07,Home Office,India,Hyderabad,Furniture,Bookcases,701.32,9,0.3,171.2
IN-2023-1134,2023-11-21,2023-07-18,Consumer,India,Bengaluru,Furniture,Bookcases,957.67,7,0.05,-188.57
IN-2023-1135,2023-01-09,2023-01-08,Consumer,India,Chennai,Office Supplies,Paper,554.44,2,0.3,107.31
IN-2023-1136,2023-02-15,2023-05-22,Consumer,India,Mumbai,Technology,Accessories,300.48,3,0.05,13.76
IN-2023-1137,2023-06-26,2023-08-27,Home Office,India,Hyderabad,Office Supplies,Storage,1553.42,1,0.05,122.5
IN-2023-1138,2023-12-07,2023-11-01,Corporate,India,Kolkata,Office Supplies,Paper,1939.31,4,0.1,-379.97
IN-2023-1139,2023-02-04,2023-01-03,Home Office,India,Mumbai,Office Supplies,Pens,542.39,7,0.05,-93.75
IN-2023-1140,2023-04-22,2023-11-27,Home Office,India,Kolkata,Furniture,Chairs,1599.88,4,0.05,509.17
IN-2023-1141,2023-06-19,2023-09-05,Corporate,India,Delhi,Technology,Phones,111.04,5,0.3,23.41
IN-2023-1142,2023-01-25,2023-08-12,Consumer,India,Bengaluru,Technology,Machines,1793.49,2,0.3,-250.57
IN-2023-1143,2023-11-14,2023-02-20,Home Office,India,Delhi,Office Supplies,Pens,411.77,1,0.3,132.29
IN-2023-1144,2023-09-14,2023-07-17,Consumer,India,Delhi,Technology,Machines,113.43,3,0.2,38.25
IN-2023-1145,2023-08-08,2023-11-13,Consumer,India,Pune,Office Supplies,Storage,489.8,6,0.3,-41.54
IN-2023-1146,2023-01-06,2023-09-08,Consumer,India,Bengaluru,Furniture,Furnishings,1376.89,2,0.1,352.46
IN-2023-1147,2023-10-08,2023-02-01,Home Office,India,Hyderabad,Technology,Accessories,521.99,9,0.2,136.75
IN-2023-1148,2023-06-07,2023-02-06,Consumer,India,Hyderabad,Office Supplies,Binders,733.72,1,0.3,-173.99
IN-2023-1149,2023-01-08,2023-11-03,Corporate,India,Bengaluru,Technology,Accessories,1611.14,2,0.05,-267.47
IN-2023-1150,2023-08-18,2023-12-20,Consumer,India,Pune,Technology,Accessories,1252.38,9,0.05,561.27
IN-2023-1151,2023-06-26,2023-03-09,Home Office,India,Kolkata,Office Supplies,Pens,206.22,4,0.2,36.7
IN-2023-1152,2023-03-26,2023-03-23,Home Office,India,Bengaluru,Office Supplies,Paper,167.69,7,0.2,-28.9
IN-2023-1153,2023-06-18,2023-03-22,Consumer,India,Chennai,Office Supplies,Storage,1589.91,7,0.1,-271.34
IN-2023-1154,2023-06-15,2023-01-07,Consumer,India,Mumbai,Furniture,Furnishings,1318.14,3,0.1,-162.86
IN-2023-1155,2023-12-12,2023-04-24,Consumer,India,Kolkata,Furniture,Tables,861.02,8,0.2,174.8
IN-2023-1156,2023-02-15,2023-02-04,Home Office,India,Hyderabad,Office Supplies,Binders,905.3,5,0.05,80.88
IN-2023-1157,2023-02-08,2023-05-15,Corporate,India,Mumbai,Office Supplies,Pens,1205.08,6,0.3,-158.43
IN-2023-1158,2023-02-23,2023-05-05,Corporate,India,Delhi,Furniture,Bookcases,1822.61,7,0.05,-200.42
IN-2023-1159,2023-07-06,2023-01-27,Consumer,India,Pune,Office Supplies,Binders,239.92,8,0.0,55.2
IN-2023-1160,2023-07-15,2023-11-10,Corporate,India,Mumbai,Furniture,Chairs,1330.64,1,0.2,-259.88
IN-2023-1161,2023-08-11,2023-12-01,Corporate,India,Bengaluru,Technology,Accessories,925.12,9,0.0,55.09
IN-2023-1162,2023-01-17,2023-08-12,Corporate,India,Delhi,Furniture,Furnishings,789.75,5,0.3,100.15
IN-2023-1163,2023-09-05,2023-04-26,Corporate,India,Delhi,Technology,Machines,1102.82,4,0.05,539.67
IN-2023-1164,2023-01-19,2023-12-10,Home Office,India,Mumbai,Furniture,Chairs,931.79,5,0.1,-43.86
IN-2023-1165,2023-07-24,2023-11-18,Home Office,India,Mumbai,Furniture,Tables,83.89,9,0.05,40.14
IN-2023-1166,2023-07-08,2023-02-21,Corporate,India,Delhi,Technology,Copiers,295.2,4,0.05,-40.89
IN-2023-1167,2023-07-26,2023-11-10,Consumer,India,Pune,Furniture,Bookcases,1742.88,6,0.05,399.65
IN-2023-1168,2023-08-25,2023-04-01,Corporate,India,Hyderabad,Office Supplies,Paper,1670.21,8,0.0,-460.46
IN-2023-1169,2023-12-02,2023-02-06,Home Office,India,Pune,Furniture,Bookcases,818.04,5,0.0,-175.65
IN-2023-1170,2023-09-11,2023-04-02,Consumer,India,Hyderabad,Technology,Phones,1987.01,9,0.3,305.23
IN-2023-1171,2023-09-23,2023-03-13,Corporate,India,Delhi,Furniture,Tables,1351.81,6,0.05,418.83
IN-2023-1172,2023-07-15,2023-05-19,Corporate,India,Pune,Technology,Phones,1315.7,5,0.0,-8.99
IN-2023-1173,2023-11-03,2023-08-14,Consumer,India,Hyderabad,Furniture,Chairs,1114.09,3,0.2,-321.15
IN-2023-1174,2023-02-06,2023-12-21,Corporate,India,Pune,Office Supplies,Paper,1025.87,5,0.05,473.11
IN-2023-1175,2023-11-16,2023-07-06,Consumer,India,Delhi,Furniture,Tables,340.53,5,0.2,27.7
IN-2023-1176,2023-05-15,2023-09-04,Home Office,India,Mumbai,Office Supplies,Paper,85.55,7,0.1,-25.15
IN-2023-1177,2023-04-16,2023-05-20,Home Office,India,Delhi,Technology,Machines,1872.15,6,0.1,-409.74
IN-2023-1178,2023-02-02,2023-01-13,Consumer,India,Kolkata,Office Supplies,Pens,1087.91,8,0.05,204.82
IN-2023-1179,2023-08-17,2023-10-10,Corporate,India,Mumbai,Office Supplies,Binders,290.28,7,0.3,-44.22
IN-2023-1180,2023-09-26,2023-09-15,Corporate,India,Hyderabad,Office Supplies,Pens,778.34,7,0.3,317.07
IN-2023-1181,2023-05-04,2023-02-24,Corporate,India,Hyderabad,Office Supplies,Storage,1687.73,8,0.0,-186.5
IN-2023-1182,2023-07-18,2023-05-15,Home Office,India,Bengaluru,Technology,Copiers,1628.58,3,0.2,-293.53
IN-2023-1183,2023-12-07,2023-11-10,Corporate,India,Hyderabad,Furniture,Bookcases,472.64,1,0.3,100.95
IN-2023-1184,2023-07-21,2023-02-03,Consumer,India,Chennai,Furniture,Tables,163.99,9,0.05,-13.18
IN-2023-1185,2023-04-26,2023-06-10,Consumer,India,Kolkata,Office Supplies,Paper,1462.81,7,0.2,519.25
IN-2023-1186,2023-08-01,2023-11-06,Corporate,India,Delhi,Technology,Phones,217.03,1,0.2,-31.8
IN-2023-1187,2023-05-08,2023-06-08,Consumer,India,Hyderabad,Furniture,Bookcases,1672.13,5,0.2,-189.0
IN-2023-1188,2023-02-06,2023-01-03,Corporate,India,Delhi,Office Supplies,Pens,682.45,3,0.05,338.03
IN-2023-1189,2023-09-23,2023-10-25,Corporate,India,Delhi,Office Supplies,Pens,167.28,4,0.3,-26.72
IN-2023-1190,2023-03-08,2023-06-05,Consumer,India,Delhi,Technology,Copiers,1963.41,3,0.3,-400.8
IN-2023-1191,2023-01-21,2023-12-06,Corporate,India,Chennai,Furniture,Chairs,231.21,6,0.05,76.37
IN-2023-1192,2023-05-02,2023-11-25,Corporate,India,Delhi,Office Supplies,Binders,641.1,2,0.3,-7.62
IN-2023-1193,2023-07-06,2023-03-22,Home Office,India,Mumbai,Furniture,Chairs,824.11,7,0.05,148.73
IN-2023-1194,2023-03-24,2023-10-14,Corporate,India,Delhi,Technology,Machines,1710.28,1,0.05,225.39
IN-2023-1195,2023-02-03,2023-02-14,Home Office,India,Delhi,Office Supplies,Pens,1646.53,5,0.1,-265.39
IN-2023-1196,2023-01-14,2023-06-14,Corporate,India,Hyderabad,Office Supplies,Storage,1171.57,6,0.0,513.39
IN-2023-1197,2023-08-21,2023-02-04,Home Office,India,Mumbai,Furniture,Furnishings,827.39,9,0.3,-4.94
IN-2023-1198,2023-06-11,2023-02-23,Consumer,India,Delhi,Furniture,Bookcases,1564.61,4,0.05,-121.72
IN-2023-1199,2023-02-24,2023-09-23,Home Office,India,Chennai,Technology,Machines,1572.49,9,0.05,137.88
IN-2023-1200,2023-04-07,2023-08-17,Home Office,India,Chennai,Technology,Phones,286.7,3,0.2,55.75
IN-2023-1201,2023-04-03,2023-07-27,Consumer,India,Delhi,Furniture,Bookcases,1328.66,6,0.05,-259.66
IN-2023-1202,2023-05-22,2023-06-15,Home Office,India,Chennai,Office Supplies,Paper,804.8,5,0.05,-155.29
IN-2023-1203,2023-10-18,2023-05-21,Home Office,India,Bengaluru,Furniture,Tables,419.9,5,0.0,-17.3
IN-2023-1204,2023-05-20,2023-07-21,Consumer,India,Delhi,Office Supplies,Binders,774.25,1,0.2,167.91
IN-2023-1205,2023-04-06,2023-10-21,Corporate,India,Delhi,Office Supplies,Paper,524.78,2,0.1,0.37
IN-2023-1206,2023-02-16,2023-01-10,Consumer,India,Hyderabad,Office Supplies,Binders,249.19,8,0.0,113.2
IN-2023-1207,2023-01-15,2023-01-23,Consumer,India,Delhi,Office Supplies,Paper,1292.54,2,0.1,77.68
IN-2023-1208,2023-07-11,2023-01-13,Consumer,India,Delhi,Furniture,Bookcases,1048.83,5,0.3,-282.75
IN-2023-1209,2023-04-11,2023-04-15,Home Office,India,Hyderabad,Technology,Copiers,1915.18,5,0.05,133.22
IN-2023-1210,2023-08-10,2023-06-15,Home Office,India,Delhi,Technology,Machines,741.94,5,0.3,169.34
IN-2023-1211,2023-04-14,2023-09-09,Consumer,India,Hyderabad,Furniture,Bookcases,794.78,2,0.1,-161.25
IN-2023-1212,2023-08-02,2023-06-13,Home Office,India,Pune,Furniture,Tables,1796.84,5,0.2,-118.13
IN-2023-1213,2023-09-08,2023-11-14,Home Office,India,Delhi,Furniture,Furnishings,355.44,1,0.05,-42.76
IN-2023-1214,2023-03-14,2023-01-24,Corporate,India,Pune,Office Supplies,Binders,583.89,4,0.3,140.59
IN-2023-1215,2023-02-21,2023-05-08,Corporate,India,Pune,Furniture,Bookcases,1729.67,1,0.2,752.65
IN-2023-1216,2023-12-13,2023-02-02,Corporate,India,Kolkata,Office Supplies,Storage,402.16,6,0.1,-34.0
IN-2023-1217,2023-11-05,2023-01-24,Home Office,India,Delhi,Furniture,Chairs,1644.68,3,0.2,470.78
IN-2023-1218,2023-05-15,2023-08-10,Corporate,India,Mumbai,Technology,Machines,345.56,7,0.2,72.23
IN-2023-1219,2023-10-02,2023-11-25,Consumer,India,Delhi,Office Supplies,Storage,1466.6,1,0.2,-323.62
IN-2023-1220,2023-09-20,2023-04-22,Corporate,India,Kolkata,Office Supplies,Binders,1249.21,2,0.0,0.26
IN-2023-1221,2023-04-11,2023-03-23,Corporate,India,Pune,Office Supplies,Paper,1673.73,9,0.05,513.74
IN-2023-1222,2023-06-03,2023-10-05,Home Office,India,Chennai,Office Supplies,Storage,293.19,4,0.2,95.09
IN-2023-1223,2023-04-17,2023-07-07,Corporate,India,Kolkata,Office Supplies,Binders,56.28,6,0.2,-8.72
IN-2023-1224,2023-08-02,2023-02-19,Home Office,India,Chennai,Furniture,Tables,1180.97,7,0.2,175.41
IN-2023-1225,2023-10-06,2023-05-04,Home Office,India,Hyderabad,Technology,Copiers,1291.16,3,0.3,383.14
IN-2023-1226,2023-04-17,2023-11-27,Consumer,India,Delhi,Technology,Copiers,288.63,1,0.0,-66.13
IN-2023-1227,2023-04-16,2023-11-15,Consumer,India,Delhi,Technology,Machines,633.91,1,0.0,133.15
IN-2023-1228,2023-09-20,2023-10-18,Corporate,India,Delhi,Office Supplies,Pens,798.47,9,0.05,135.91
